smile,flavor
C(CC(=O)O)CC(=O)O,odorless
C(C(=O)O)N,odorless
C(C(CO)O)O,odorless
C#N,bitter
OO,bitter
CCC(C)C(C(=O)O)N,odorless
C1=CC=C2C(=C1)C(=CN2)CC(=O)O,odorless
C(C(C(C(CO)O)O)O)O,sweet
CC1C(C(C(C(O1)O)O)O)O,sweet
CC(C(C(C(=O)CO)O)O)O,sweet
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,sweet
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,sweet
CC(=O)C=O,sweet
C1C(C(C(O1)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)O)O)O,sweet
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,bitter
C1=CC(=CN=C1)C(=O)N,odorless
N#[N+][O-],odorless
O,odorless
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O,sweet
C1=CC=C(C=C1)CC(C(=O)O)N,odorless
C1=CC=C(C=C1)CC(=O)C(=O)O,sweet
C1=CC=C(C=C1)CC=O,bitter
C1=CC=C(C=C1)CC(=O)O,sweet
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O,sweet
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O,sweet
CC(CO)O,odorless
C1=CNN=C1,bitter
CSC,sweet
C(C(C(C(C(=O)CO)O)O)O)O,sweet
C(CC(=O)O)C(=O)O,odorless
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,sweet
O=S=O,bitter
C(CS(=O)(=O)O)N,bitter
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,bitter
CC1=CC=CC=C1,sweet
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O,sweet
C[N+](C)(C)[O-],odorless
CC(C)C(C(=O)O)N,odorless
COC1=C(C=CC(=C1)C=O)O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)OP(=O)(O)O,sweet
C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(N=C2N)Cl,sweet
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(N=C2N)Cl,sweet
C1C(OC(C1O)N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)OP(=O)(O)O)O,sweet
C(C(C(C(=O)[O-])O)O)C(C(=O)[O-])O,sweet
C(C(C(C(=O)O)O)O)C(C(=O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)OP(=O)(O)O,sweet
C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,bitter
C1=NC2=C(C(=N1)N)N=C(N2C3C(C(C(O3)COP(=O)(O)O)O)O)NCCCCCCN,sweet
C1C2C(C(C(O2)N3C4=C(C(=NC=N4)N)N=C3Br)O)OP(=O)(O1)[O-],sweet
C1C2C(C(C(O2)N3C4=C(C(=NC=N4)N)N=C3Br)O)OP(=O)(O1)O,sweet
C1=NC2=C(C(=N1)NBr)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O,sweet
CC(=O)NC1=CC=C(C=C1)O,bitter
C1=NC2=C(C(=N1)N)N=CN2C3C4C(C(O3)CO)OP(=O)(O4)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)OP(=O)(O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=S)(O)O)O)O,sweet
CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,sweet
COC1C(C(C(C(O1)CO)O)O)O,sweet
CN1C2=C(C(=O)N(C1=O)C)NC=N2,bitter
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,bitter
C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,bitter
COC1=CC=C(C=C1)C2=CC(=S)SS2,bitter
CC1=CC(=O)N(N1C)C2=CC=CC=C2,bitter
CC(=O)C1=CC(=C(C=C1)O)OC,sweet
CN1CCC=C(C1)C(=O)OC,bitter
COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,bitter
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)(O)[O-])O)O,sweet
CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],bitter
CCC1(C(=O)NC(=O)NC1=O)CC,bitter
C1=CC=C(C=C1)C(=O)N,bitter
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,sweet
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,bitter
CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,bitter
C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O,bitter
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,odorless
CCCC(C)(COC(=O)N)COC(=O)NC(C)C,bitter
C(C(Cl)(Cl)Cl)(O)O,bitter
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,bitter
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,bitter
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,bitter
CC1(C2CCC(O1)(CC2)C)C,sweet
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,bitter
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,bitter
CC1=C(C(=O)C=CN1C)O,bitter
CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,odorless
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,bitter
C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,bitter
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,bitter
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(CP(=O)(O)OP(=O)(O)O)O)O)O,sweet
C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,bitter
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,bitter
CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,bitter
CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,bitter
COC1=C(C=CC(=C1)CC=C)O,sweet
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,bitter
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(N=C2N)F,sweet
C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,bitter
C1C(C(C(C(O1)(CO)O)O)O)O,sweet
CC(C(C(C(CO)O)O)O)O,sweet
CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,bitter
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,sweet
COC1=CC=CC=C1OCC(CO)O,bitter
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,bitter
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,sweet
CC(C)O,bitter
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C)C,bitter
CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC,bitter
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(CO)O)O)O)O)O)O,sweet
C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,sweet
CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,bitter
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,bitter
CC1(C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)O,sweet
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,bitter
CC1=CC=CC=C1OCC(CO)O,bitter
CCCC(C)(COC(=O)N)COC(=O)N,bitter
CN(C)C(=N)N=C(N)N,bitter
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,bitter
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,bitter
CP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,sweet
CCC1(C(=O)C(CNC1=O)C)CC,bitter
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,bitter
CNC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,sweet
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O,sweet
C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2,bitter
C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,bitter
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,bitter
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,bitter
CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C,bitter
CCC(CC)(C1=CC=CC=C1)C(=O)OCCOCCN(CC)CC,bitter
COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,bitter
COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,bitter
CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,bitter
CCOC1=CC=C(C=C1)NC(=O)C,bitter
C1=CC=C(C=C1)CCCOC(=O)N,bitter
C1=CC=C(C=C1)N=C(N)N=C(N)N,bitter
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,odorless
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(CP(=O)(O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(CP(=O)(O)O)O)O)O,sweet
C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O,bitter
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCNCC3)C(=O)O,bitter
CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,bitter
[Cl-].[K+],bitter
CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,bitter
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,bitter
CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(=O)O3)C)OC)C)C)OC,bitter
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,odorless
C=CCC1=CC2=C(C=C1)OCO2,sweet
C1=CC=C(C(=C1)C(=O)N)O,bitter
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,bitter
CCCCCCCCCCCCCCCCCC(=O)O,odorless
COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,bitter
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,bitter
COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,bitter
CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,bitter
CCCCC1(C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)COC(=O)CCC(=O)O,bitter
CN1C=NC2=C1C(=O)NC(=O)N2C,bitter
CCN(CC)C(=O)C1=CN=CC=C1,bitter
CCN(CC)C1=CC(=NC2=NC=NN12)C,bitter
CC(=O)OCC(COC(=O)C)OC(=O)C,bitter
CC1(C(=O)N(C(=O)O1)C)C,bitter
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,bitter
C=CCCCCCCCCC(=O)O,sweet
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,bitter
CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.Cl,bitter
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,bitter
CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,bitter
CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,bitter
CC(=O)NC1=CC=C(C=C1)OC,bitter
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,bitter
C=CCC1(C(=O)NC(=O)NC1=O)CC=C,bitter
CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,bitter
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13.[Br-],bitter
C1CCC2=NN=NN2CC1,bitter
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],bitter
C(C(C(=O)O)N)C(=O)O,odorless
C(CCN)CC(C(=O)O)N,odorless
C=CCN=C=S,bitter
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,odorless
CNCC(C1=CC(=CC=C1)O)O,bitter
C1=CC(=C(C=C1CC(C(=O)O)N)O)O,odorless
C1CN=C(N1)CC2=CC=CC=C2.Cl,bitter
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,bitter
C1=CC=C(C=C1)CCO,bitter
C1=CC(=CC=C1CC(C(=O)O)N)O,odorless
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,bitter
CC[N+](C)(C)CC1=CC=CC=C1Br.CC1=CC=C(C=C1)S(=O)(=O)[O-],bitter
CC(C)CC(C(=O)O)N,odorless
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,bitter
CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,bitter
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-],bitter
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],odorless
C(C(C(=O)O)N)C(=O)N,odorless
C1=C(NC=N1)CC(C(=O)O)N,odorless
CCCCCO,sweet
C1=CC(=C(C=C1C2(C3=C(C(=C(C(=C3Br)Br)Br)Br)C(=O)O2)C4=CC(=C(C=C4)O)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],bitter
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,bitter
CC1CO1,sweet
CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,bitter
CC(=O)OC1CC2CCC1(C2(C)C)C,sweet
C=CCC1(C(=O)NC(=O)NC1=O)C2CCC=C2,bitter
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,bitter
CC(C)C1(C(=O)NC(=O)NC1=O)CC=C,bitter
CCC1(C(=O)CCNC1=O)CC,bitter
CCCCC1(C(=O)NC(=O)NC1=O)CC,bitter
CCC(CC)(C(=O)NC(=O)NC(=O)C)Br,bitter
CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,sweet
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,sweet
CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,odorless
CC[N+](CC)(CC)CC.[OH-],bitter
CC1=CC(=O)CC(C1)(C)C,sweet
CC(=CCCC(C)(C=C)O)C,sweet
CC(C)CO,bitter
CCC(C)O,sweet
CC(=O)OC,bitter
CC1(CCC(CC1)C(C)(C)O)O,bitter
CC1=CCC2CC1C2(C)C,sweet
CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C,bitter
CCOC(=O)C1=CC=CC=C1C(=O)OCC,bitter
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=O)N,odorless
CNC1=CC=CC=C1C(=O)OC,sweet
C1=CC=C2C(=C1)C=CC=C2C(=O)O,bitter
C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],bitter
CC(C)COC(=O)C1=CC=CC=C1O,bitter
CC(C)CCOC(=O)C1=CC=CC=C1O,bitter
CCOC(=O)C1=CC=CC=C1N,sweet
C1C2=CC=CC=C2C(=O)O1,sweet
C1=COC(=C1)C(=O)O,odorless
CC1CCC(=C(C)C)CC2=C1CCC2C,sweet
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],bitter
C(C(C1C(=O)C(=C(O1)O)O)O)O,odorless
CC1=CC(=C(C=C1)C(=O)C)C,sweet
CC1CCC(C(=O)C1)C(C)C,sweet
CC1=CC(=O)C(CC1)C(C)C,sweet
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3O2,bitter
C(C1C(C(C(C(=O)O1)O)O)O)O,odorless
CC(C(C1=CC=CC=C1)O)NC,bitter
COC1=CC=CC=C1OC,sweet
CC1=CC2=C(C=C1)OC(=O)C=C2,bitter
COC1=CC2=CC=CC=C2C=C1,sweet
CC(=O)C1=CC2=CC=CC=C2C=C1,sweet
COC1=C(C=C(C=C1)CC=C)OC,bitter
CC(=O)OC1=C(C=C(C=C1)CC=C)OC,sweet
CC1=CC(=C(C=C1)O)OC,bitter
CCC(C1=CC=CC=C1)O,sweet
COC(=O)C1=CC=CC=C1,sweet
CCOC(=O)C1=CC=CC=C1,bitter
CCOC(=O)CC(=O)C1=CC=CC=C1,bitter
CCCOC(=O)C1=CC=C(C=C1)O,sweet
CC(C)CCOC(=O)C1=CC=CC=C1,sweet
C1OC2=C(O1)C=C(C=C2)C(=O)O,bitter
CC1=CC(=C(C=C1)C)O,sweet
CC1=CC(=C(C=C1C)C)C,sweet
C1CC(=O)OC1,sweet
C1=CC(=C(C=C1Cl)Cl)CN(CCO)C(=O)C(Cl)Cl,bitter
CC1=CCC(CC1OC(=O)C)C(=C)C,sweet
CCC(=O)OC1CC(CC=C1C)C(=C)C,sweet
CCOC(=O)C(C)C,sweet
CCCCOC(=O)C(C)C,sweet
CCC(CC)C=O,sweet
C1=COC(=C1)CO,bitter
C1=COC(=C1)C=O,sweet
C1CC(=O)NC1C(=O)O,sweet
CC(C1=CC=CC=C1)O,sweet
CC(=O)C1=CC=CC=C1,bitter
COC1=C(C=C(C=C1)[N+](=O)[O-])N,sweet
COC(=O)C1=CC=C(C=C1)O,odorless
CC1=CCC(=CC1)C(C)C,bitter
CC1=CC=C(CC1)C(C)C,bitter
CC(=O)C1=CC=C(C=C1)O,sweet
CC(=O)C1=CC=C(C=C1)OC,bitter
COC1=CC=C(C=C1)C(=O)O,sweet
C=CC1=CC=CC=C1,sweet
CC(C)(CC1=CC=CC=C1)O,bitter
C1CCC(CC1)NS(=O)(=O)O,sweet
CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC1=CC=CC=C1.[Cl-],bitter
COC(=O)CC1=CC=CC=C1,sweet
CCOC(=O)CC1=CC=CC=C1,bitter
C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,bitter
CC(C)CCOC(=O)CC1=CC=CC=C1,sweet
C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,sweet
CC(=O)OC(C)(C)CCC1=CC=CC=C1,sweet
CC(C)C(=O)OCC1=CC=CC=C1,sweet
CC(C)CC(=O)OCC1=CC=CC=C1,sweet
CC(=O)OCCC1=CC=CC=C1,sweet
CC(C)C(=O)OCCC1=CC=CC=C1,bitter
C1=CC=C(C=C1)COCC2=CC=CC=C2,sweet
CCCC(=O)OCCC1=CC=CC=C1,sweet
CC(C)C(=O)OCCCC1=CC=CC=C1,bitter
CC(=O)OCC1=CC=C(C=C1)OC,sweet
CCCC1=CC=C(C=C1)OC,sweet
CCCCC1CCC(=O)O1,sweet
CCCCCC1CCC(=O)O1,sweet
C1=CC=C(C=C1)CCOC=O,bitter
CCCCC(CC)CO,sweet
CC(C)COC(=O)CCC1=CC=CO1,sweet
COC1=CC=C(C=C1)CO,sweet
CCCC1CCC(=O)O1,sweet
CCC(=O)OCC,sweet
CCOC(=O)CC(=O)OCC,sweet
CCOC(C)OCC,sweet
C1CCC(=O)NCC1,bitter
CCCC(=O)OCCC,sweet
CCC(=O)OCCC(C)C,bitter
CCCCCC(=O)OCC(C)C,sweet
CC(C)CCCC(C)CCO,bitter
CC(CCC=C(C)C)CC=O,sweet
CCCCCCCC(=O)OCC,sweet
CCCCCCCCCCCC(=O)OCC,sweet
CCCOC(=O)CC,bitter
COC(=O)CCC(=O)OC,sweet
C(CCO)CC(CO)O,sweet
CCCCCC(=O)OC,sweet
CCCCCCC(=O)OC,sweet
CCCS,sweet
CC(CCCC(C)(C)O)CC=O,sweet
CCCC(=O)C,sweet
CC(CCO)O,odorless
CC(C)OC(=O)C,sweet
CC(=C)OC(=O)C,sweet
CC1CCC(=O)O1,sweet
CCOC(=O)CC(C)C,sweet
CC1=CC=CC=N1,bitter
CCCCOC(=O)CC(C)C,sweet
CCCCOC(=O)CCC,sweet
CCCOC(=O)C,bitter
CCOC=O,bitter
C1=CNC=C1,sweet
CC(C)COC(=O)C,bitter
CCCCCCCCCC(=O)OCC,sweet
CCCCCC(=O)C,sweet
CCCOC=O,bitter
C1CCNCC1,bitter
CC(C)CNCC(C)C,bitter
CCCCCCCC(=O)OC,sweet
CCCCCCC(=O)C,bitter
CCCCCCO,sweet
C(CCO)CCO,bitter
CCCCCCCO,sweet
CCCCCCCCCCO,sweet
CCCCCCCCCC=O,sweet
CCCCCCCCCCC=O,sweet
CCCCCCCCCCCCOC(=O)C,sweet
CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.[Br-],bitter
C=CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,bitter
CCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,bitter
CC(=CCCC(C)(C=C)OC(=O)C)C,sweet
CC(=O)CO,sweet
CC1CC(C=C(C2C1CC(=C(C)C)C2)C)OC(=O)C,sweet
C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,sweet
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,sweet
CCOC(=O)C1=CC=CC=C1O,sweet
CC1=C(C(=O)C=CO1)O,sweet
CC(=O)C1=CC=CC=C1O,sweet
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,bitter
C1=CC=C2C=NC=CC2=C1,sweet
COC1=C(C=C(C=C1)C=O)OC,sweet
CCC(=O)OC(C)C1=CC=CC=C1,sweet
C1OC2=C(O1)C=C(C=C2)C=O,bitter
CCOC1=C(C=CC(=C1)C=O)O,sweet
COC1=C(C=CC(=C1)C(=O)O)O,sweet
CCOC(=O)C1C(O1)C2=CC=CC=C2,sweet
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],bitter
C1=C(SC(=N1)N)[N+](=O)[O-],bitter
COC1=CC=C(C=C1)C(=O)OC,sweet
CC1=CC=C(C=C1)C(=O)C,bitter
